ip,first_seen,last_seen,count,severity,signature,protocol,country
103.191.92.163,2025-07-25T14:31:39+00:00,2025-07-31T03:34:44+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.191.92.224,2025-07-26T15:27:24+00:00,2025-07-26T15:27:24+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.217.145.41,2025-07-29T22:02:13+00:00,2025-07-29T22:39:50+00:00,3,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.217.145.120,2025-07-12T08:23:40.252000+00:00,2025-07-12T08:23:40.252000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,
103.217.145.144,2025-07-17T22:27:47.986000+00:00,2025-07-25T21:27:34+00:00,6,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.226.139.139,2025-07-25T13:58:38+00:00,2025-07-25T13:58:38+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ID
103.236.253.43,2025-07-26T14:03:22+00:00,2025-07-26T14:03:22+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
104.236.90.16,2025-07-22T21:54:38.849000+00:00,2025-07-22T22:05:30.054000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,US
104.244.77.50,2025-07-11T23:37:23.513000+00:00,2025-07-30T22:34:34+00:00,3,medium,"ET SCAN Potential SSH Scan",TCP,LU
106.12.142.125,2025-07-14T20:47:38.286000+00:00,2025-07-14T20:47:38.286000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
106.13.239.108,2025-07-25T02:32:07+00:00,2025-07-25T02:32:07+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
106.75.87.224,2025-07-25T11:35:04+00:00,2025-07-25T11:35:04+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
108.61.222.67,2025-07-17T04:51:20.074000+00:00,2025-07-26T03:49:48+00:00,3,medium,"ET SCAN Potential SSH Scan",TCP,US
109.120.137.7,2025-07-19T11:11:46.953000+00:00,2025-07-19T13:21:52.649000+00:00,7,medium,"ET SCAN Potential SSH Scan",TCP,DE
109.123.233.114,2025-07-21T09:24:21.050000+00:00,2025-07-21T09:35:39.881000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,SG
111.19.129.218,2025-07-12T06:59:09.502000+00:00,2025-07-12T06:59:09.502000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
113.141.70.64,2025-07-22T09:57:23.092000+00:00,2025-07-22T10:09:25.771000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,CN
115.190.14.206,2025-07-24T18:47:10+00:00,2025-07-24T19:18:24+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,CN
115.190.43.249,2025-07-13T14:03:01.029000+00:00,2025-07-13T14:03:01.029000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
115.190.102.49,2025-07-30T17:44:14+00:00,2025-07-30T17:44:14+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
